ed,cause,month,age,status,dead,pop,asmr,unreliable,asmrlow,asmrhigh
7,All causes,2021-07,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-07,50-59,Unvaccinated,333,42150,794.2,,708.8,879.7
7,All causes,2021-07,50-59,"First dose, less than 21 days ago",3,1632,216.5,u,44.6,632.6
7,All causes,2021-07,50-59,"First dose, at least 21 days ago",254,13644,1952.8,,1710.0,2195.5
7,All causes,2021-07,50-59,"Second dose, less than 21 days ago",35,16113,240.5,,165.9,336.4
7,All causes,2021-07,50-59,"Second dose, at least 21 days ago",1345,471815,282.2,,267.0,297.3
7,All causes,2021-07,50-59,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-07,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-07,60-69,Unvaccinated,413,22759,1871.1,,1688.7,2053.5
7,All causes,2021-07,60-69,"First dose, less than 21 days ago",5,600,850.6,u,258.9,2019.2
7,All causes,2021-07,60-69,"First dose, at least 21 days ago",397,5575,7780.1,,6999.5,8560.7
7,All causes,2021-07,60-69,"Second dose, less than 21 days ago",58,3688,1798.9,,1336.5,2361.2
7,All causes,2021-07,60-69,"Second dose, at least 21 days ago",3095,414635,750.2,,723.8,776.7
7,All causes,2021-07,60-69,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-07,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-07,70-79,Unvaccinated,412,10632,4046.8,,3651.4,4442.2
7,All causes,2021-07,70-79,"First dose, less than 21 days ago",4,206,2134.8,u,572.9,5484.9
7,All causes,2021-07,70-79,"First dose, at least 21 days ago",526,2368,22496.8,,20568.4,24425.1
7,All causes,2021-07,70-79,"Second dose, less than 21 days ago",50,860,5934.0,,4394.7,7835.1
7,All causes,2021-07,70-79,"Second dose, at least 21 days ago",7402,351365,2124.0,,2075.6,2172.4
7,All causes,2021-07,70-79,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-07,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-07,80-89,Unvaccinated,513,4422,11473.6,,10479.6,12467.7
7,All causes,2021-07,80-89,"First dose, less than 21 days ago",8,79,10125.4,u,4371.4,19951.2
7,All causes,2021-07,80-89,"First dose, at least 21 days ago",521,1241,41144.0,,37576.5,44711.5
7,All causes,2021-07,80-89,"Second dose, less than 21 days ago",56,388,14247.5,,10740.5,18528.2
7,All causes,2021-07,80-89,"Second dose, at least 21 days ago",10990,167672,6516.8,,6394.9,6638.7
7,All causes,2021-07,80-89,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-07,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-07,90+,Unvaccinated,304,1289,23578.3,,21001.9,26383.5
7,All causes,2021-07,90+,"First dose, less than 21 days ago",0,23,,,,
7,All causes,2021-07,90+,"First dose, at least 21 days ago",286,454,63062.3,,55964.4,70811.1
7,All causes,2021-07,90+,"Second dose, less than 21 days ago",35,138,25377.7,,17673.8,35295.4
7,All causes,2021-07,90+,"Second dose, at least 21 days ago",6869,36702,18715.7,,18275.7,19163.6
7,All causes,2021-07,90+,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-07,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,18-39,Unvaccinated,138,240743,61.9,,51.4,72.3
7,All causes,2021-08,18-39,"First dose, less than 21 days ago",3,20392,17.4,u,2.2,54.1
7,All causes,2021-08,18-39,"First dose, at least 21 days ago",81,220981,52.4,,40.6,66.4
7,All causes,2021-08,18-39,"Second dose, less than 21 days ago",20,127428,16.1,,9.8,25.0
7,All causes,2021-08,18-39,"Second dose, at least 21 days ago",189,338900,52.9,,44.9,60.9
7,All causes,2021-08,18-39,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,18-39,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,40-49,Unvaccinated,172,63270,280.5,,238.2,322.8
7,All causes,2021-08,40-49,"First dose, less than 21 days ago",5,2049,277.1,u,88.5,649.5
7,All causes,2021-08,40-49,"First dose, at least 21 days ago",88,21568,441.4,,352.8,545.2
7,All causes,2021-08,40-49,"Second dose, less than 21 days ago",13,23882,61.8,u,31.6,107.7
7,All causes,2021-08,40-49,"Second dose, at least 21 days ago",404,355584,111.1,,100.3,122.0
7,All causes,2021-08,40-49,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,50-59,Unvaccinated,325,40770,805.9,,718.1,893.6
7,All causes,2021-08,50-59,"First dose, less than 21 days ago",0,934,,,,
7,All causes,2021-08,50-59,"First dose, at least 21 days ago",174,9818,1840.5,,1565.4,2115.6
7,All causes,2021-08,50-59,"Second dose, less than 21 days ago",18,3604,441.9,u,259.8,701.4
7,All causes,2021-08,50-59,"Second dose, at least 21 days ago",1442,490246,289.4,,274.4,304.3
7,All causes,2021-08,50-59,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,60-69,Unvaccinated,391,22259,1820.5,,1638.3,2002.8
7,All causes,2021-08,60-69,"First dose, less than 21 days ago",6,360,1643.2,u,570.9,3636.2
7,All causes,2021-08,60-69,"First dose, at least 21 days ago",261,4356,6239.0,,5467.7,7010.4
7,All causes,2021-08,60-69,"Second dose, less than 21 days ago",11,1244,1022.7,u,497.3,1850.7
7,All causes,2021-08,60-69,"Second dose, at least 21 days ago",3286,419675,788.0,,761.0,814.9
7,All causes,2021-08,60-69,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,70-79,Unvaccinated,475,10473,4794.2,,4358.2,5230.1
7,All causes,2021-08,70-79,"First dose, less than 21 days ago",9,118,8207.9,u,3688.1,15688.8
7,All causes,2021-08,70-79,"First dose, at least 21 days ago",299,1967,15530.5,,13764.9,17296.2
7,All causes,2021-08,70-79,"Second dose, less than 21 days ago",25,409,6372.3,,4113.1,9421.3
7,All causes,2021-08,70-79,"Second dose, at least 21 days ago",7658,353150,2182.8,,2133.9,2231.7
7,All causes,2021-08,70-79,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,80-89,Unvaccinated,513,4325,11792.8,,10771.2,12814.4
7,All causes,2021-08,80-89,"First dose, less than 21 days ago",7,48,14856.9,u,5951.7,30648.9
7,All causes,2021-08,80-89,"First dose, at least 21 days ago",357,1022,34156.4,,30581.0,37731.8
7,All causes,2021-08,80-89,"Second dose, less than 21 days ago",21,179,11602.7,,7170.3,17752.5
7,All causes,2021-08,80-89,"Second dose, at least 21 days ago",11047,168330,6522.9,,6401.2,6644.6
7,All causes,2021-08,80-89,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-08,90+,Unvaccinated,321,1265,25369.6,,22669.8,28302.4
7,All causes,2021-08,90+,"First dose, less than 21 days ago",5,11,43533.9,u,14029.3,101593.4
7,All causes,2021-08,90+,"First dose, at least 21 days ago",208,367,56732.3,,49283.5,64988.9
7,All causes,2021-08,90+,"Second dose, less than 21 days ago",7,62,11330.6,u,4539.3,23346.5
7,All causes,2021-08,90+,"Second dose, at least 21 days ago",7117,37036,19216.5,,18772.6,19668.2
7,All causes,2021-08,90+,"Third dose or booster, less than 21 days ago",0,0,,,,
7,All causes,2021-08,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,18-39,Unvaccinated,118,217372,58.1,,47.5,68.8
7,All causes,2021-09,18-39,"First dose, less than 21 days ago",0,10393,,,,
7,All causes,2021-09,18-39,"First dose, at least 21 days ago",49,94178,71.3,,51.3,96.1
7,All causes,2021-09,18-39,"Second dose, less than 21 days ago",10,88797,13.1,u,4.8,26.5
7,All causes,2021-09,18-39,"Second dose, at least 21 days ago",214,505939,40.4,,34.9,45.9
7,All causes,2021-09,18-39,"Third dose or booster, less than 21 days ago",0,697,,,,
7,All causes,2021-09,18-39,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,40-49,Unvaccinated,122,59482,215.6,,177.0,254.1
7,All causes,2021-09,40-49,"First dose, less than 21 days ago",4,1297,344.4,u,91.6,886.8
7,All causes,2021-09,40-49,"First dose, at least 21 days ago",71,14386,527.6,,411.1,666.7
7,All causes,2021-09,40-49,"Second dose, less than 21 days ago",4,5196,90.7,u,23.7,234.4
7,All causes,2021-09,40-49,"Second dose, at least 21 days ago",504,369764,134.7,,122.9,146.4
7,All causes,2021-09,40-49,"Third dose or booster, less than 21 days ago",0,804,,,,
7,All causes,2021-09,40-49,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,50-59,Unvaccinated,283,38622,738.8,,652.6,825.0
7,All causes,2021-09,50-59,"First dose, less than 21 days ago",0,607,,,,
7,All causes,2021-09,50-59,"First dose, at least 21 days ago",127,8036,1630.6,,1345.6,1915.6
7,All causes,2021-09,50-59,"Second dose, less than 21 days ago",7,1719,409.9,u,162.0,849.5
7,All causes,2021-09,50-59,"Second dose, at least 21 days ago",1581,476920,327.9,,311.7,344.1
7,All causes,2021-09,50-59,"Third dose or booster, less than 21 days ago",0,1665,,,,
7,All causes,2021-09,50-59,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,60-69,Unvaccinated,417,21275,2018.0,,1822.4,2213.7
7,All causes,2021-09,60-69,"First dose, less than 21 days ago",3,232,1534.8,u,284.4,4563.0
7,All causes,2021-09,60-69,"First dose, at least 21 days ago",203,3681,5971.1,,5135.8,6806.5
7,All causes,2021-09,60-69,"Second dose, less than 21 days ago",7,650,1334.3,u,529.0,2762.4
7,All causes,2021-09,60-69,"Second dose, at least 21 days ago",3456,407137,854.8,,826.2,883.3
7,All causes,2021-09,60-69,"Third dose or booster, less than 21 days ago",5,1237,404.1,u,127.9,949.4
7,All causes,2021-09,60-69,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,70-79,Unvaccinated,465,10051,4801.4,,4360.1,5242.7
7,All causes,2021-09,70-79,"First dose, less than 21 days ago",0,72,,,,
7,All causes,2021-09,70-79,"First dose, at least 21 days ago",258,1693,15590.6,,13682.5,17498.7
7,All causes,2021-09,70-79,"Second dose, less than 21 days ago",3,222,1331.5,u,266.8,3909.8
7,All causes,2021-09,70-79,"Second dose, at least 21 days ago",7869,341193,2319.0,,2267.7,2370.2
7,All causes,2021-09,70-79,"Third dose or booster, less than 21 days ago",10,1496,625.1,u,284.2,1174.6
7,All causes,2021-09,70-79,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,80-89,Unvaccinated,478,4123,11472.6,,10443.0,12502.2
7,All causes,2021-09,80-89,"First dose, less than 21 days ago",0,27,,,,
7,All causes,2021-09,80-89,"First dose, at least 21 days ago",282,884,31416.4,,27712.7,35120.1
7,All causes,2021-09,80-89,"Second dose, less than 21 days ago",6,91,6647.8,u,2436.7,14474.7
7,All causes,2021-09,80-89,"Second dose, at least 21 days ago",11358,159721,7066.1,,6936.1,7196.1
7,All causes,2021-09,80-89,"Third dose or booster, less than 21 days ago",33,3628,912.0,,627.8,1280.8
7,All causes,2021-09,80-89,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-09,90+,Unvaccinated,266,1209,22004.0,,19438.8,24813.6
7,All causes,2021-09,90+,"First dose, less than 21 days ago",0,7,,,,
7,All causes,2021-09,90+,"First dose, at least 21 days ago",185,318,58245.1,,50153.5,67270.2
7,All causes,2021-09,90+,"Second dose, less than 21 days ago",3,25,11806.4,u,2372.9,34496.2
7,All causes,2021-09,90+,"Second dose, at least 21 days ago",7210,35487,20317.2,,19850.9,20791.7
7,All causes,2021-09,90+,"Third dose or booster, less than 21 days ago",26,573,4535.6,,2962.0,6646.0
7,All causes,2021-09,90+,"Third dose or booster, at least 21 days ago",0,0,,,,
7,All causes,2021-10,18-39,Unvaccinated,113,215176,54.7,,44.5,64.8
7,All causes,2021-10,18-39,"First dose, less than 21 days ago",0,6357,,,,
7,All causes,2021-10,18-39,"First dose, at least 21 days ago",48,67278,94.4,,68.4,126.6
7,All causes,2021-10,18-39,"Second dose, less than 21 days ago",0,24789,,,,
7,All causes,2021-10,18-39,"Second dose, at least 21 days ago",228,615560,36.6,,31.9,41.4
7,All causes,2021-10,18-39,"Third dose or booster, less than 21 days ago",9,14873,53.3,u,23.4,102.8
7,All causes,2021-10,18-39,"Third dose or booster, at least 21 days ago",3,3521,73.3,u,15.1,214.1
7,All causes,2021-10,40-49,Unvaccinated,123,60190,210.8,,173.2,248.4
7,All causes,2021-10,40-49,"First dose, less than 21 days ago",0,995,,,,
7,All causes,2021-10,40-49,"First dose, at least 21 days ago",66,12661,548.3,,423.0,698.7
7,All causes,2021-10,40-49,"Second dose, less than 21 days ago",0,2552,,,,
7,All causes,2021-10,40-49,"Second dose, at least 21 days ago",482,370604,128.5,,117.0,139.9
7,All causes,2021-10,40-49,"Third dose or booster, less than 21 days ago",11,14638,72.0,u,35.7,129.2
7,All causes,2021-10,40-49,"Third dose or booster, at least 21 days ago",5,3833,136.5,u,43.5,320.0
7,All causes,2021-10,50-59,Unvaccinated,277,39297,711.0,,627.2,794.9
7,All causes,2021-10,50-59,"First dose, less than 21 days ago",0,474,,,,
7,All causes,2021-10,50-59,"First dose, at least 21 days ago",123,7520,1650.7,,1357.6,1943.8
7,All causes,2021-10,50-59,"Second dose, less than 21 days ago",4,1093,374.3,u,99.7,963.4
7,All causes,2021-10,50-59,"Second dose, at least 21 days ago",1612,460372,344.8,,327.9,361.6
7,All causes,2021-10,50-59,"Third dose or booster, less than 21 days ago",35,28429,120.0,,83.4,167.1
7,All causes,2021-10,50-59,"Third dose or booster, at least 21 days ago",14,7846,181.4,u,98.9,304.8
7,All causes,2021-10,60-69,Unvaccinated,389,21805,1833.7,,1649.7,2017.8
7,All causes,2021-10,60-69,"First dose, less than 21 days ago",0,182,,,,
7,All causes,2021-10,60-69,"First dose, at least 21 days ago",173,3470,5267.9,,4468.4,6067.4
7,All causes,2021-10,60-69,"Second dose, less than 21 days ago",3,445,880.2,u,181.5,2572.4
7,All causes,2021-10,60-69,"Second dose, at least 21 days ago",3611,388802,936.5,,905.9,967.0
7,All causes,2021-10,60-69,"Third dose or booster, less than 21 days ago",114,28716,393.5,,321.1,465.9
7,All causes,2021-10,60-69,"Third dose or booster, at least 21 days ago",26,6027,444.8,,289.4,653.3
7,All causes,2021-10,70-79,Unvaccinated,458,10321,4632.0,,4203.2,5060.7
7,All causes,2021-10,70-79,"First dose, less than 21 days ago",0,68,,,,
7,All causes,2021-10,70-79,"First dose, at least 21 days ago",231,1599,14703.2,,12801.9,16604.5
7,All causes,2021-10,70-79,"Second dose, less than 21 days ago",10,163,6431.1,u,3065.1,11857.5
7,All causes,2021-10,70-79,"Second dose, at least 21 days ago",7890,272347,2994.0,,2927.6,3060.4
7,All causes,2021-10,70-79,"Third dose or booster, less than 21 days ago",614,72352,805.6,,739.8,871.5
7,All causes,2021-10,70-79,"Third dose or booster, at least 21 days ago",127,10050,1175.3,,956.8,1393.9
7,All causes,2021-10,80-89,Unvaccinated,469,4200,11029.3,,10030.1,12028.5
7,All causes,2021-10,80-89,"First dose, less than 21 days ago",5,32,15724.6,u,5059.7,36787.0
7,All causes,2021-10,80-89,"First dose, at least 21 days ago",274,815,33066.3,,29115.5,37017.1
7,All causes,2021-10,80-89,"Second dose, less than 21 days ago",16,83,17031.0,u,9658.5,27768.5
7,All causes,2021-10,80-89,"Second dose, at least 21 days ago",10548,87661,11913.9,,11686.4,12141.5
7,All causes,2021-10,80-89,"Third dose or booster, less than 21 days ago",1693,62893,2685.8,,2557.9,2813.8
7,All causes,2021-10,80-89,"Third dose or booster, at least 21 days ago",561,18624,3003.1,,2754.6,3251.7
7,All causes,2021-10,90+,Unvaccinated,299,1231,24286.5,,21611.3,27201.4
7,All causes,2021-10,90+,"First dose, less than 21 days ago",10,12,84607.3,u,40504.7,155606.6
7,All causes,2021-10,90+,"First dose, at least 21 days ago",167,289,57841.5,,49400.7,67310.5
7,All causes,2021-10,90+,"Second dose, less than 21 days ago",8,31,25521.9,u,10989.2,50291.3
7,All causes,2021-10,90+,"Second dose, at least 21 days ago",6645,22410,29651.7,,28943.0,30373.3
7,All causes,2021-10,90+,"Third dose or booster, less than 21 days ago",1152,11843,9727.3,,9173.6,10305.7
7,All causes,2021-10,90+,"Third dose or booster, at least 21 days ago",361,3168,11395.8,,10250.4,12634.2
7,All causes,2021-11,18-39,Unvaccinated,94,201235,50.3,,40.5,61.6
7,All causes,2021-11,18-39,"First dose, less than 21 days ago",0,4946,,,,
7,All causes,2021-11,18-39,"First dose, at least 21 days ago",34,54993,77.7,,52.7,110.2
7,All causes,2021-11,18-39,"Second dose, less than 21 days ago",3,12673,34.1,u,5.8,102.7
7,All causes,2021-11,18-39,"Second dose, at least 21 days ago",200,594454,33.8,,29.1,38.5
7,All causes,2021-11,18-39,"Third dose or booster, less than 21 days ago",12,22285,54.3,u,27.2,96.1
7,All causes,2021-11,18-39,"Third dose or booster, at least 21 days ago",17,26074,66.1,u,37.1,107.9
7,All causes,2021-11,40-49,Unvaccinated,140,57310,258.3,,215.1,301.4
7,All causes,2021-11,40-49,"First dose, less than 21 days ago",0,785,,,,
7,All causes,2021-11,40-49,"First dose, at least 21 days ago",36,10966,354.4,,247.5,491.5
7,All causes,2021-11,40-49,"Second dose, less than 21 days ago",0,1804,,,,
7,All causes,2021-11,40-49,"Second dose, at least 21 days ago",431,328732,130.3,,118.0,142.7
7,All causes,2021-11,40-49,"Third dose or booster, less than 21 days ago",37,24640,151.7,,106.3,209.8
7,All causes,2021-11,40-49,"Third dose or booster, at least 21 days ago",49,25721,184.1,,135.8,243.8
7,All causes,2021-11,50-59,Unvaccinated,279,37556,749.9,,661.8,838.0
7,All causes,2021-11,50-59,"First dose, less than 21 days ago",3,400,800.3,u,160.6,2349.6
7,All causes,2021-11,50-59,"First dose, at least 21 days ago",102,6658,1566.2,,1260.9,1871.6
7,All causes,2021-11,50-59,"Second dose, less than 21 days ago",0,895,,,,
7,All causes,2021-11,50-59,"Second dose, at least 21 days ago",1369,364657,372.5,,352.7,392.2
7,All causes,2021-11,50-59,"Third dose or booster, less than 21 days ago",124,65861,182.7,,150.1,215.2
7,All causes,2021-11,50-59,"Third dose or booster, at least 21 days ago",170,51299,322.3,,273.6,371.1
7,All causes,2021-11,60-69,Unvaccinated,394,20949,1964.2,,1768.4,2160.0
7,All causes,2021-11,60-69,"First dose, less than 21 days ago",5,165,2791.6,u,868.2,6590.3
7,All causes,2021-11,60-69,"First dose, at least 21 days ago",151,3104,5120.5,,4289.4,5951.7
7,All causes,2021-11,60-69,"Second dose, less than 21 days ago",6,351,1977.9,u,698.7,4355.6
7,All causes,2021-11,60-69,"Second dose, at least 21 days ago",2833,237098,1281.1,,1233.1,1329.1
7,All causes,2021-11,60-69,"Third dose or booster, less than 21 days ago",427,115117,354.1,,319.6,388.5
7,All causes,2021-11,60-69,"Third dose or booster, at least 21 days ago",460,59015,756.8,,687.0,826.6
7,All causes,2021-11,70-79,Unvaccinated,431,9923,4539.2,,4106.3,4972.2
7,All causes,2021-11,70-79,"First dose, less than 21 days ago",5,62,8621.2,u,2784.9,20147.5
7,All causes,2021-11,70-79,"First dose, at least 21 days ago",169,1432,12044.7,,10224.3,13865.2
7,All causes,2021-11,70-79,"Second dose, less than 21 days ago",11,137,7996.1,u,3974.0,14335.0
